country	United Kingdom	#9740c9
country	Denmark	#ff2000
country	France	#2e49e2
country	Germany	#383838
country	Netherlands	#ff791f
country	Poland	#7C00A5
country	Spain	#ffc71f
country	Belgium	#37adf6
country	Italy	#49ad21
country	Austria	#55C1C1
country	Hungary	#ff77a4
country	Sweden	#00b294
country	Norway	#15009F
country	Iceland	#7994FD
country	Finland	#EDEDED
country	Czech_Republic	#58879B
country	Portugal	#66BE43
country	Serbia	#919955
country	Switzerland	#E58171
country	Estonia	#0188CE
country	out	#757575
HA_clade	1970.1	#b50076
HA_clade	1970.1-like	#e031a3
HA_clade	Other-Human-1970	#b50000
HA_clade	Other-Human-1970-like	#e01f1f
HA_clade	Other-Human-1980	#8328eb
HA_clade	Other-Human-1980-like	#a65ef7
HA_clade	1990.4-like	#3248f0
HA_clade	Other-Human-1990	#3261bf
HA_clade	Other-Human-1990-like	#6f99ed
HA_clade	2000.3	#00bfa6
HA_clade	Other-Human-2000	#36baa0
HA_clade	Other-Human-2000-like	#8be0d0
HA_clade	2010.2	#00bf2d
HA_clade	2010.1-like	#4fa300
HA_clade	Other-Human-2010	#3ed662
HA_clade	Other-Human-2010-like	#7ae693
HA_clade	Other-Human-2020	#d6ab00
HA_clade	Other-Human-2020-like	#ffd942